conceptFrom,conceptTo,frequency,metaOntology,metaName
latest bulletin,latest_bulletin,1,UNKNOWN,
third sensory evaluation,third_sensory_evaluation,1,UNKNOWN,
same bulletin,same_bulletin,1,UNKNOWN,
Ternate Kawit,Ternate_Kawit,1,UNKNOWN,
ako ni,ako_ni,1,UNKNOWN,
Kiko Laurel ng DA Department,Kiko_Laurel_ng_DA_Department,1,UNKNOWN,
Puwede nang ituloy ang inyong hanapbuhay Marcos,Puwede_nang_ituloy_ang_inyong_hanapbuhay_Marcos,1,UNKNOWN,
General Trias Cavite,General_Trias_Cavite,1,UNKNOWN,
DA Secretary Kiko Laurel,DA_Secretary_Kiko_Laurel,1,UNKNOWN,
Marcos togeth,Marcos_togeth,1,UNKNOWN,
Agriculture Secretary Francisco Tiu Laurel Jr,Agriculture_Secretary_Francisco_Tiu_Laurel_Jr,1,UNKNOWN,
aid accord,aid_accord,1,UNKNOWN,
Presidential Communications Office,Presidential_Communications_Office,1,UNKNOWN,
Cavite province,Cavite_province,1,UNKNOWN,
few days,few_days,2,UNKNOWN,
fishers vendors,fishers_vendors,1,UNKNOWN,
daily compensation,daily_compensation,1,UNKNOWN,
Philippine Coast Guard report,Philippine_Coast_Guard_report,1,UNKNOWN,
Coast Guard initially,Coast_Guard_initially,1,UNKNOWN,
congressional hearings,congressional_hearings,1,UNKNOWN,
MANILA Philippines — Bataan,MANILA_Philippines_—_Bataan,1,UNKNOWN,
MTRK Terranova,MTRK_Terranova,1,UNKNOWN,
MTRK Jason Bradley,MTRK_Jason_Bradley,1,UNKNOWN,
combin effects,combin_effects,1,UNKNOWN,
International name Gaemi,International_name_Gaemi,1,UNKNOWN,
Bataan Governor Joet Garcia,Bataan_Governor_Joet_Garcia,2,UNKNOWN,
Monday night,Monday_night,1,UNKNOWN,
second State,second_State,2,UNKNOWN,
new calamity,new_calamity,1,UNKNOWN,
oil observ,oil_observ,1,UNKNOWN,
Development Garcia,Development_Garcia,1,UNKNOWN,
Sa ilalim,Sa_ilalim,1,UNKNOWN,
additional fund,additional_fund,2,UNKNOWN,
calamities caus,calamities_caus,1,UNKNOWN,
immediate help,immediate_help,1,UNKNOWN,
Management Councils,Management_Councils,1,UNKNOWN,
latest situational report counts,latest_situational_report_counts,1,UNKNOWN,
other leak vessels,other_leak_vessels,1,UNKNOWN,
MANILA Philippines — Representatives,MANILA_Philippines_—_Representatives,1,UNKNOWN,
sunken MTKR Terranova,sunken_MTKR_Terranova,1,UNKNOWN,
widespread environmental catastrophe,widespread_environmental_catastrophe,1,UNKNOWN,
report oil sheens,report_oil_sheens,1,UNKNOWN,
man team,man_team,1,UNKNOWN,
US Coast Guard,US_Coast_Guard,1,UNKNOWN,
US Coast Guards Marine Environmental Protection Team,US_Coast_Guards_Marine_Environmental_Protection_Team,1,UNKNOWN,
Atmospheric Administration NOAA,Atmospheric_Administration_NOAA,1,UNKNOWN,
coastal management,coastal_management,1,UNKNOWN,
MTKR Terranova,MTKR_Terranova,3,UNKNOWN,
PCGs immediate attention,PCGs_immediate_attention,1,UNKNOWN,
less oil,less_oil,1,UNKNOWN,
PCG Bataan Station command Lieutenant command Michael John Encina,PCG_Bataan_Station_command_Lieutenant_command_Michael_John_Encina,1,UNKNOWN,
concern ad,concern_ad,1,UNKNOWN,
Environment Secretary Maria Antonia Yulo-Loyzaga,Environment_Secretary_Maria_Antonia_Yulo-Loyzaga,1,UNKNOWN,
situation brief,situation_brief,2,UNKNOWN,
Typhoon Carina,Typhoon_Carina,3,UNKNOWN,
enhanc Southwest Monsoon,enhanc_Southwest_Monsoon,2,UNKNOWN,
Biodiversity Management Bureau identifi coastal,Biodiversity_Management_Bureau_identifi_coastal,1,UNKNOWN,
possible contamination,possible_contamination,1,UNKNOWN,
coastline areas,coastline_areas,1,UNKNOWN,
Philippine Satellite Agency,Philippine_Satellite_Agency,1,UNKNOWN,
Bulacan area,Bulacan_area,1,UNKNOWN,
Environment Secretary,Environment_Secretary,2,UNKNOWN,
UP Marine Science Institute model run,UP_Marine_Science_Institute_model_run,1,UNKNOWN,
spill base,spill_base,1,UNKNOWN,
Yulo-Loyzaga ad,Yulo-Loyzaga_ad,1,UNKNOWN,
possible impact,possible_impact,3,UNKNOWN,
main site,main_site,1,UNKNOWN,
vessel site,vessel_site,1,UNKNOWN,
possible change,possible_change,1,UNKNOWN,
provincial governments,provincial_governments,2,UNKNOWN,
organic spill booms,organic_spill_booms,2,UNKNOWN,
spill booms,spill_booms,1,UNKNOWN,
person di,person_di,3,UNKNOWN,
early Thursday,early_Thursday,3,UNKNOWN,
—VAL GMA integr News,—VAL_GMA_integr_News,1,UNKNOWN,
tanker carri,tanker_carri,1,UNKNOWN,
Oras report,Oras_report,2,UNKNOWN,
Mark Salazar,Mark_Salazar,1,UNKNOWN,
Tuesday oil,Tuesday_oil,1,UNKNOWN,
slick samples,slick_samples,1,UNKNOWN,
Philippines Marine Science Institute,Philippines_Marine_Science_Institute,1,UNKNOWN,
Central Luzon Region 4A,Central_Luzon_Region_4A,2,UNKNOWN,
Julius Rodriguez,Julius_Rodriguez,1,UNKNOWN,
virtual press conference,virtual_press_conference,1,UNKNOWN,
Tuesday afternoon,Tuesday_afternoon,1,UNKNOWN,
oil siphon,oil_siphon,1,UNKNOWN,
local government units,local_government_units,5,UNKNOWN,
Ang mandato,Ang_mandato,1,UNKNOWN,
sa kaligtasan,sa_kaligtasan,1,UNKNOWN,
current mandate,current_mandate,1,UNKNOWN,
continuous assessment,continuous_assessment,1,UNKNOWN,
evaluation regard,evaluation_regard,1,UNKNOWN,
fish consumption,fish_consumption,1,UNKNOWN,
sa Manila Bay,sa_Manila_Bay,1,UNKNOWN,
Hindi namin,Hindi_namin,1,UNKNOWN,
kame personnel,kame_personnel,1,UNKNOWN,
ground assessment,ground_assessment,2,UNKNOWN,
Cesar Villanoy,Cesar_Villanoy,1,UNKNOWN,
Mariveles area,Mariveles_area,1,UNKNOWN,
clean-up operation,clean-up_operation,1,UNKNOWN,
affect nearby shores,affect_nearby_shores,1,UNKNOWN,
Kapag magig,Kapag_magig,1,UNKNOWN,
basta basta,basta_basta,1,UNKNOWN,
protective equipment,protective_equipment,1,UNKNOWN,
Anne Casucian LDF GMA integr News,Anne_Casucian_LDF_GMA_integr_News,1,UNKNOWN,
Thursday BFAR,Thursday_BFAR,1,UNKNOWN,
fish samples,fish_samples,3,UNKNOWN,
Cavite City,Cavite_City,2,UNKNOWN,
Terranova carri,Terranova_carri,1,UNKNOWN,
fuel oil capsiz,fuel_oil_capsiz,1,UNKNOWN,
earlier BFAR,earlier_BFAR,1,UNKNOWN,
—Jiselle Anne Casucian RF GMA integr News,—Jiselle_Anne_Casucian_RF_GMA_integr_News,1,UNKNOWN,
Las Pin,Las_Pin,1,UNKNOWN,
shellfish samples,shellfish_samples,2,UNKNOWN,
human consumption base,human_consumption_base,2,UNKNOWN,
Bataan BFAR,Bataan_BFAR,1,UNKNOWN,
fish areas,fish_areas,1,UNKNOWN,
harmful contaminants,harmful_contaminants,1,UNKNOWN,
public consumption,public_consumption,1,UNKNOWN,
safe base,safe_base,1,UNKNOWN,
grease contamination,grease_contamination,2,UNKNOWN,
agency note,agency_note,1,UNKNOWN,
low levels,low_levels,1,UNKNOWN,
harmful contaminant,harmful_contaminant,1,UNKNOWN,
test conduct,test_conduct,1,UNKNOWN,
urg fisherfolk,urg_fisherfolk,1,UNKNOWN,
general public,general_public,2,UNKNOWN,
government authorities,government_authorities,2,UNKNOWN,
Anne Casucian AOL GMA integr News,Anne_Casucian_AOL_GMA_integr_News,1,UNKNOWN,
Philippines Marine Science Institute UP MSI,Philippines_Marine_Science_Institute_UP_MSI,1,UNKNOWN,
bulletin issu,bulletin_issu,1,UNKNOWN,
UP MSI,UP_MSI,3,UNKNOWN,
weather patterns,weather_patterns,1,UNKNOWN,
possible transport,possible_transport,1,UNKNOWN,
slick sightings,slick_sightings,1,UNKNOWN,
slick observ,slick_observ,1,UNKNOWN,
continuous release,continuous_release,1,UNKNOWN,
tanker coastal areas,tanker_coastal_areas,1,UNKNOWN,
eastward change,eastward_change,1,UNKNOWN,
potential direction,potential_direction,1,UNKNOWN,
direct response measures,direct_response_measures,1,UNKNOWN,
Philippine Space Agency PhilSA,Philippine_Space_Agency_PhilSA,2,UNKNOWN,
potential size,potential_size,2,UNKNOWN,
tankers location,tankers_location,2,UNKNOWN,
satellite image,satellite_image,2,UNKNOWN,
slick covers,slick_covers,2,UNKNOWN,
inter-agency task force,inter-agency_task_force,2,UNKNOWN,
affect tank valves,affect_tank_valves,1,UNKNOWN,
unknown quantity,unknown_quantity,1,UNKNOWN,
—Joviland Rita KG GMA integr News,—Joviland_Rita_KG_GMA_integr_News,1,UNKNOWN,
miss individual,miss_individual,1,UNKNOWN,
PCG search team,PCG_search_team,1,UNKNOWN,
PCG Rear,PCG_Rear,1,UNKNOWN,
medical attention,medical_attention,1,UNKNOWN,
deploi aerial asset,deploi_aerial_asset,1,UNKNOWN,
estim coverage length,estim_coverage_length,1,UNKNOWN,
strong current head,strong_current_head,2,UNKNOWN,
Nova capsiz,Nova_capsiz,1,UNKNOWN,
Nova head,Nova_head,1,UNKNOWN,
gmanews pic,gmanews_pic,1,UNKNOWN,
com llgJYOFYGv Bataan Governor Jose Garcia claim,com_llgJYOFYGv_Bataan_Governor_Jose_Garcia_claim,1,UNKNOWN,
shallow part,shallow_part,1,UNKNOWN,
Manila Bay ay,Manila_Bay_ay,1,UNKNOWN,
mailabas yung,mailabas_yung,1,UNKNOWN,
Saksi report,Saksi_report,1,UNKNOWN,
urg concern agencies,urg_concern_agencies,1,UNKNOWN,
capsiz vessel,capsiz_vessel,1,UNKNOWN,
Para maunahan,Para_maunahan,1,UNKNOWN,
Natural Resources Secretary Maria Antonia,Natural_Resources_Secretary_Maria_Antonia,1,UNKNOWN,
monitor instrument,monitor_instrument,1,UNKNOWN,
malaman kung,malaman_kung,1,UNKNOWN,
trace accord,trace_accord,1,UNKNOWN,
motor tanker,motor_tanker,2,UNKNOWN,
industrial fuel store,industrial_fuel_store,1,UNKNOWN,
Yung karga,Yung_karga,1,UNKNOWN,
virtual interview,virtual_interview,1,UNKNOWN,
magig goal natin,magig_goal_natin,1,UNKNOWN,
kung gaano,kung_gaano,1,UNKNOWN,
water integrity,water_integrity,1,UNKNOWN,
leak base,leak_base,1,UNKNOWN,
PCG Commandant CG Admiral Ronnie Gil L Gavan,PCG_Commandant_CG_Admiral_Ronnie_Gil_L_Gavan,1,UNKNOWN,
investigation regard,investigation_regard,1,UNKNOWN,
response organizations,response_organizations,1,UNKNOWN,
remain oil,remain_oil,1,UNKNOWN,
Huge waves,Huge_waves,2,UNKNOWN,
initial account,initial_account,1,UNKNOWN,
Pero dure,Pero_dure,1,UNKNOWN,
Ang term,Ang_term,1,UNKNOWN,
—VAL RF GMA integr News,—VAL_RF_GMA_integr_News,1,UNKNOWN,
Saturday fish stalls,Saturday_fish_stalls,1,UNKNOWN,
shellfish retailers,shellfish_retailers,1,UNKNOWN,
mussel sellers,mussel_sellers,1,UNKNOWN,
name bangus,name_bangus,1,UNKNOWN,
fish seller,fish_seller,1,UNKNOWN,
sample test,sample_test,1,UNKNOWN,
certain degree,certain_degree,1,UNKNOWN,
food safety,food_safety,1,UNKNOWN,
relief goods,relief_goods,1,UNKNOWN,
Cavite provincial government report,Cavite_provincial_government_report,1,UNKNOWN,
ng tulong,ng_tulong,1,UNKNOWN,
Mayor Dino Chua,Mayor_Dino_Chua,1,UNKNOWN,
sunken motor tanker,sunken_motor_tanker,1,UNKNOWN,
several coastal barangays,several_coastal_barangays,1,UNKNOWN,
—Jiselle Anne Casucian VBL GMA integr News,—Jiselle_Anne_Casucian_VBL_GMA_integr_News,1,UNKNOWN,
International charter Space,International_charter_Space,1,UNKNOWN,
Major Disasters,Major_Disasters,1,UNKNOWN,
satellite data,satellite_data,1,UNKNOWN,
management efforts,management_efforts,1,UNKNOWN,
MT Terra,MT_Terra,1,UNKNOWN,
industrial oil leak,industrial_oil_leak,1,UNKNOWN,
—VBL GMA integr News,—VBL_GMA_integr_News,1,UNKNOWN,
612 liters,612_liters,1,UNKNOWN,
company contract,company_contract,2,UNKNOWN,
oil flow,oil_flow,2,UNKNOWN,
PCG targets,PCG_targets,1,UNKNOWN,
water cannon,water_cannon,1,UNKNOWN,
washington-bas National Oceanic,washington-bas_National_Oceanic,1,UNKNOWN,
Atmospheric Administration NOAA arriv Tuesday,Atmospheric_Administration_NOAA_arriv_Tuesday,1,UNKNOWN,
Philippines oil,Philippines_oil,1,UNKNOWN,
eight-man team,eight-man_team,1,UNKNOWN,
technical assistance,technical_assistance,1,UNKNOWN,
Incident Management Team,Incident_Management_Team,1,UNKNOWN,
ground ships,ground_ships,1,UNKNOWN,
initial cap bags,initial_cap_bags,3,UNKNOWN,
metal caps,metal_caps,6,UNKNOWN,
industrial fuel oil load,industrial_fuel_oil_load,2,UNKNOWN,
contract vessel,contract_vessel,1,UNKNOWN,
pipe insertion,pipe_insertion,3,UNKNOWN,
clear debris,clear_debris,3,UNKNOWN,
operational base,operational_base,3,UNKNOWN,
coastal local government units,coastal_local_government_units,3,UNKNOWN,
Terranova accord,Terranova_accord,2,UNKNOWN,
Office Civil Defense Calabarzon,Office_Civil_Defense_Calabarzon,2,UNKNOWN,
— VDV GMA integr News,—_VDV_GMA_integr_News,1,UNKNOWN,
Philippine Coast Guard plan Friday,Philippine_Coast_Guard_plan_Friday,1,UNKNOWN,
province watch Coast Guard personnel,province_watch_Coast_Guard_personnel,1,UNKNOWN,
Coast Guard spokesman Rear Admiral Armando Balilo,Coast_Guard_spokesman_Rear_Admiral_Armando_Balilo,1,UNKNOWN,
recent days,recent_days,1,UNKNOWN,
Immediate action,Immediate_action,1,UNKNOWN,
fishers group,fishers_group,1,UNKNOWN,
ng Kilusang,ng_Kilusang,1,UNKNOWN,
appropriate measures,appropriate_measures,2,UNKNOWN,
socio-economic activities,socio-economic_activities,1,UNKNOWN,
ecological disast,ecological_disast,1,UNKNOWN,
Vice Chairperson Ronnel Arambulo,Vice_Chairperson_Ronnel_Arambulo,1,UNKNOWN,
potential impacts,potential_impacts,1,UNKNOWN,
fishery resources,fishery_resources,1,UNKNOWN,
5-hectare fish sanctuary locat,5-hectare_fish_sanctuary_locat,1,UNKNOWN,
coastal village,coastal_village,1,UNKNOWN,
compensatory damages,compensatory_damages,1,UNKNOWN,
cleanup costs,cleanup_costs,1,UNKNOWN,
Mae Locus Agence France-Presse,Mae_Locus_Agence_France-Presse,1,UNKNOWN,
Monday sign,Monday_sign,1,UNKNOWN,
Sangguniang Panlalawigan,Sangguniang_Panlalawigan,1,UNKNOWN,
Provincial Social Welfare,Provincial_Social_Welfare,1,UNKNOWN,
Development Office Garcia,Development_Office_Garcia,1,UNKNOWN,
southwest monsoon enhanc,southwest_monsoon_enhanc,1,UNKNOWN,
tropical cyclone,tropical_cyclone,1,UNKNOWN,
—Vince Angelo Ferreras VAL GMA integr News,—Vince_Angelo_Ferreras_VAL_GMA_integr_News,1,UNKNOWN,
President Ferdinand Bongbong Marcos Jr,President_Ferdinand_Bongbong_Marcos_Jr,1,UNKNOWN,
Saturday order,Saturday_order,1,UNKNOWN,
Bulacan Marcos,Bulacan_Marcos,1,UNKNOWN,
task force,task_force,3,UNKNOWN,
Employment DOLE,Employment_DOLE,1,UNKNOWN,
LGU units response,LGU_units_response,1,UNKNOWN,
local executives,local_executives,1,UNKNOWN,
DENRs role,DENRs_role,1,UNKNOWN,
air quality tests,air_quality_tests,1,UNKNOWN,
affect area,affect_area,1,UNKNOWN,
DOH monitors,DOH_monitors,1,UNKNOWN,
medical conditions,medical_conditions,1,UNKNOWN,
same brief Marcos,same_brief_Marcos,1,UNKNOWN,
DENR order,DENR_order,1,UNKNOWN,
immediate concern natin,immediate_concern_natin,1,UNKNOWN,
indigenous materials,indigenous_materials,1,UNKNOWN,
Oriental Mindoro Governor Bonz Dolor,Oriental_Mindoro_Governor_Bonz_Dolor,1,UNKNOWN,
sunken Sierra leone-flag dredger MV Hong Hai,sunken_Sierra_leone-flag_dredger_MV_Hong_Hai,1,UNKNOWN,
— DVM GMA integr News,—_DVM_GMA_integr_News,1,UNKNOWN,
possible conspiracy,possible_conspiracy,2,UNKNOWN,
recent maritime disast,recent_maritime_disast,2,UNKNOWN,
many red flags,many_red_flags,1,UNKNOWN,
Undersecretary Raul Vasquez,Undersecretary_Raul_Vasquez,1,UNKNOWN,
Saturday News Forum,Saturday_News_Forum,1,UNKNOWN,
Friday Justice Secretary Jesus Crispin Remulla,Friday_Justice_Secretary_Jesus_Crispin_Remulla,2,UNKNOWN,
red flag,red_flag,2,UNKNOWN,
crew member report,crew_member_report,3,UNKNOWN,
motor vessel,motor_vessel,3,UNKNOWN,
DOJ official,DOJ_official,3,UNKNOWN,
ongo investigation Oil,ongo_investigation_Oil,1,UNKNOWN,
GMA News Online,GMA_News_Online,1,UNKNOWN,
Ship Management Inc,Ship_Management_Inc,1,UNKNOWN,
post time,post_time,1,UNKNOWN,
involv vessels,involv_vessels,1,UNKNOWN,
certain vessel,certain_vessel,1,UNKNOWN,
criminal negligence,criminal_negligence,1,UNKNOWN,
criminal liabiility,criminal_liabiility,1,UNKNOWN,
DOJ task,DOJ_task,1,UNKNOWN,
parallel investigation,parallel_investigation,1,UNKNOWN,
-VAL GMA integr News,-VAL_GMA_integr_News,1,UNKNOWN,
containment operations,containment_operations,1,UNKNOWN,
concern area,concern_area,1,UNKNOWN,
Thursday oil recovery operations,Thursday_oil_recovery_operations,1,UNKNOWN,
Quiapo Barangay,Quiapo_Barangay,1,UNKNOWN,
Initial cappings,Initial_cappings,1,UNKNOWN,
thin oil,thin_oil,1,UNKNOWN,
PCG ad,PCG_ad,1,UNKNOWN,
Bataan accord,Bataan_accord,1,UNKNOWN,
earlier attach,earlier_attach,1,UNKNOWN,
special canvass cap bags,special_canvass_cap_bags,1,UNKNOWN,
new set,new_set,1,UNKNOWN,
undue risks,undue_risks,1,UNKNOWN,
challeng Salvour,challeng_Salvour,2,UNKNOWN,
concern areas,concern_areas,2,UNKNOWN,
— RSJ GMA integr News,—_RSJ_GMA_integr_News,1,UNKNOWN,
Environmental groups,Environmental_groups,1,UNKNOWN,
Thursday call,Thursday_call,1,UNKNOWN,
capsiz motor,capsiz_motor,1,UNKNOWN,
Marine protection organization Oceana,Marine_protection_organization_Oceana,1,UNKNOWN,
spills harmful impact,spills_harmful_impact,1,UNKNOWN,
municipal waters,municipal_waters,1,UNKNOWN,
appropriate penalties,appropriate_penalties,1,UNKNOWN,
other sanctions base,other_sanctions_base,1,UNKNOWN,
damages caus,damages_caus,1,UNKNOWN,
habitats wildlife,habitats_wildlife,1,UNKNOWN,
peoples lives,peoples_lives,1,UNKNOWN,
estim coverage,estim_coverage,1,UNKNOWN,
just transition,just_transition,1,UNKNOWN,
fuel companies,fuel_companies,1,UNKNOWN,
comprehensive Climate Justice Agenda,comprehensive_Climate_Justice_Agenda,1,UNKNOWN,
worsen impacts,worsen_impacts,1,UNKNOWN,
climate crisis,climate_crisis,1,UNKNOWN,
Philippine Coast Guard Oil Spill Response Organizations oil companies,Philippine_Coast_Guard_Oil_Spill_Response_Organizations_oil_companies,1,UNKNOWN,
response efforts,response_efforts,1,UNKNOWN,
last major oil,last_major_oil,1,UNKNOWN,
same year,same_year,1,UNKNOWN,
— Vince Angelo Ferreras BM GMA integr News,—_Vince_Angelo_Ferreras_BM_GMA_integr_News,1,UNKNOWN,
Wednesday push,Wednesday_push,1,UNKNOWN,
Iyong technology,Iyong_technology,1,UNKNOWN,
Mindanao State University-Iligan Institute,Mindanao_State_University-Iligan_Institute,1,UNKNOWN,
lead expert,lead_expert,1,UNKNOWN,
different types,different_types,2,UNKNOWN,
foam technology,foam_technology,1,UNKNOWN,
further test,further_test,1,UNKNOWN,
development need,development_need,1,UNKNOWN,
future oil,future_oil,1,UNKNOWN,
United_States National Oceanic,United_States_National_Oceanic,1,UNKNOWN,
lists oil,lists_oil,1,UNKNOWN,
harmful material,harmful_material,1,UNKNOWN,
prior motor,prior_motor,1,UNKNOWN,
towns coast,towns_coast,1,UNKNOWN,
heavy rains,heavy_rains,1,UNKNOWN,
Philippine Coast Guards,Philippine_Coast_Guards,1,UNKNOWN,
nandun pa,nandun_pa,1,UNKNOWN,
threat sa,threat_sa,1,UNKNOWN,
Dapat matanggal,Dapat_matanggal,1,UNKNOWN,
—Mariel Celine ñ VBL GMA integr News,—Mariel_Celine_ñ_VBL_GMA_integr_News,1,UNKNOWN,
joint team,joint_team,1,UNKNOWN,
possible smuggl,possible_smuggl,2,UNKNOWN,
Tungkol naman,Tungkol_naman,1,UNKNOWN,
fuel smuggl,fuel_smuggl,1,UNKNOWN,
joint investigation team,joint_investigation_team,2,UNKNOWN,
Station command Lieutenant command Michael John Encina,Station_command_Lieutenant_command_Michael_John_Encina,1,UNKNOWN,
kinakonsolidate natin,kinakonsolidate_natin,1,UNKNOWN,
ng mga,ng_mga,1,UNKNOWN,
natin Wednesday,natin_Wednesday,1,UNKNOWN,
important information data,important_information_data,1,UNKNOWN,
conduct interviews,conduct_interviews,1,UNKNOWN,
Terranova one,Terranova_one,1,UNKNOWN,
deni allegations,deni_allegations,1,UNKNOWN,
Porta Vaga Ship Management Group,Porta_Vaga_Ship_Management_Group,1,UNKNOWN,
initial investigation,initial_investigation,1,UNKNOWN,
Civil Defense Calabarzon,Civil_Defense_Calabarzon,1,UNKNOWN,
Aquatic Resources BFAR,Aquatic_Resources_BFAR,2,UNKNOWN,
additional food packs,additional_food_packs,1,UNKNOWN,
safety measure,safety_measure,1,UNKNOWN,
contamin seafood,contamin_seafood,1,UNKNOWN,
--VAL GMA integr News,--VAL_GMA_integr_News,1,UNKNOWN,
other vessels,other_vessels,1,UNKNOWN,
PCG National Capital Region NCR -Central Luzon spokesperson Lieutenant command Michael John Encina,PCG_National_Capital_Region_NCR_-Central_Luzon_spokesperson_Lieutenant_command_Michael_John_Encina,1,UNKNOWN,
investig team,investig_team,1,UNKNOWN,
real reason,real_reason,1,UNKNOWN,
paihi system oil,paihi_system_oil,1,UNKNOWN,
large vessel,large_vessel,1,UNKNOWN,
smaller crafts,smaller_crafts,1,UNKNOWN,
ganitong reports,ganitong_reports,1,UNKNOWN,
coordin din,coordin_din,1,UNKNOWN,
previous citations,previous_citations,2,UNKNOWN,
super Radyo,super_Radyo,1,UNKNOWN,
such reports,such_reports,1,UNKNOWN,
Sa ngayon,Sa_ngayon,1,UNKNOWN,
po ay,po_ay,1,UNKNOWN,
transparent tayo,transparent_tayo,1,UNKNOWN,
Justice Undersecretary Raul Vasquez,Justice_Undersecretary_Raul_Vasquez,2,UNKNOWN,
PCGs Marine Casualty Investigation Team Encina,PCGs_Marine_Casualty_Investigation_Team_Encina,1,UNKNOWN,
Kagaya ng sinabi ni Secretary Benhur Abalos kung sino ang,Kagaya_ng_sinabi_ni_Secretary_Benhur_Abalos_kung_sino_ang,1,UNKNOWN,
Secretary Benhur Abalos,Secretary_Benhur_Abalos,1,UNKNOWN,
separate incidents,separate_incidents,1,UNKNOWN,
cooperative ang,cooperative_ang,1,UNKNOWN,
ganyang measures,ganyang_measures,1,UNKNOWN,
kanilang logistical,kanilang_logistical,1,UNKNOWN,
—KG GMA integr News,—KG_GMA_integr_News,1,UNKNOWN,
Justice DOJ Secretary Jesus Crispin boi Remulla,Justice_DOJ_Secretary_Jesus_Crispin_boi_Remulla,1,UNKNOWN,
justice secretary,justice_secretary,1,UNKNOWN,
run aground,run_aground,1,UNKNOWN,
open anoth,open_anoth,1,UNKNOWN,
longest time,longest_time,1,UNKNOWN,
ak tingin,ak_tingin,1,UNKNOWN,
Internal Revenue BIR,Internal_Revenue_BIR,1,UNKNOWN,
Philippine government,Philippine_government,1,UNKNOWN,
Fuel mark Program,Fuel_mark_Program,1,UNKNOWN,
mandatory mark,mandatory_mark,1,UNKNOWN,
import gasoline diesel,import_gasoline_diesel,1,UNKNOWN,
Philippine Institute,Philippine_Institute,1,UNKNOWN,
industry players,industry_players,1,UNKNOWN,
express support,express_support,1,UNKNOWN,
governments initiative,governments_initiative,1,UNKNOWN,
loud bang,loud_bang,1,UNKNOWN,
starboard main engine,starboard_main_engine,1,UNKNOWN,
latter start list,latter_start_list,1,UNKNOWN,
tanker capsiz,tanker_capsiz,2,UNKNOWN,
Teleradyo interview,Teleradyo_interview,1,UNKNOWN,
Wednesday DOJ Undersecretary,Wednesday_DOJ_Undersecretary,1,UNKNOWN,
several red flags,several_red_flags,1,UNKNOWN,
intentional act yan,intentional_act_yan,1,UNKNOWN,
other areas,other_areas,2,UNKNOWN,
other causes,other_causes,2,UNKNOWN,
intentional act,intentional_act,1,UNKNOWN,
health impacts,health_impacts,1,UNKNOWN,
physical contact,physical_contact,1,UNKNOWN,
follow health effects,follow_health_effects,1,UNKNOWN,
DOH advis,DOH_advis,1,UNKNOWN,
drink water,drink_water,1,UNKNOWN,
higher risk,higher_risk,1,UNKNOWN,
mild soap,mild_soap,1,UNKNOWN,
immediate medical assistance,immediate_medical_assistance,1,UNKNOWN,
wash clothes,wash_clothes,1,UNKNOWN,
farm animals,farm_animals,1,UNKNOWN,
affect water,affect_water,1,UNKNOWN,
nearby water sources,nearby_water_sources,1,UNKNOWN,
local authorities,local_authorities,1,UNKNOWN,
—Giselle Ombay KBK GMA integr News,—Giselle_Ombay_KBK_GMA_integr_News,1,UNKNOWN,
Biodiversity Management Bureau BMB,Biodiversity_Management_Bureau_BMB,1,UNKNOWN,
30-kilomet radius,30-kilomet_radius,1,UNKNOWN,
Secretary Toni Yulo-Loyzaga,Secretary_Toni_Yulo-Loyzaga,1,UNKNOWN,
Asian waterbird census sites,Asian_waterbird_census_sites,1,UNKNOWN,
man-made wetlands,man-made_wetlands,1,UNKNOWN,
crucial habitats,crucial_habitats,1,UNKNOWN,
migratory birds,migratory_birds,1,UNKNOWN,
Las ñ-ñ Wetland Park,Las_ñ-ñ_Wetland_Park,1,UNKNOWN,
protect area,protect_area,1,UNKNOWN,
wetland park,wetland_park,1,UNKNOWN,
BMB note,BMB_note,1,UNKNOWN,
last updat,last_updat,1,UNKNOWN,
ships tanks,ships_tanks,1,UNKNOWN,
Tuesday August,Tuesday_August,4,UNKNOWN,
bulletin releas,bulletin_releas,1,UNKNOWN,
deem fish,deem_fish,1,UNKNOWN,
project cost,project_cost,1,UNKNOWN,
black oil cargo spill,black_oil_cargo_spill,1,UNKNOWN,
reclamation projects,reclamation_projects,1,UNKNOWN,
interim results,interim_results,1,UNKNOWN,
cumulative impact assessment,cumulative_impact_assessment,1,UNKNOWN,
Bay area,Bay_area,1,UNKNOWN,
Senate Majority leader Francis,Senate_Majority_leader_Francis,1,UNKNOWN,
coastal area,coastal_area,1,UNKNOWN,
flood control projects,flood_control_projects,1,UNKNOWN,
last August,last_August,1,UNKNOWN,
Loyzaga note,Loyzaga_note,1,UNKNOWN,
ecological cost,ecological_cost,1,UNKNOWN,
economic cost,economic_cost,1,UNKNOWN,
MANILA Philippines - Fish,MANILA_Philippines_-_Fish,1,UNKNOWN,
sensory evaluations,sensory_evaluations,1,UNKNOWN,
chemical test,chemical_test,1,UNKNOWN,
aromatic hydrocarbons PAHs,aromatic_hydrocarbons_PAHs,1,UNKNOWN,
toxic components,toxic_components,1,UNKNOWN,
significant risk,significant_risk,1,UNKNOWN,
howev fish,howev_fish,1,UNKNOWN,
other sites,other_sites,1,UNKNOWN,
Manila ñ Las ñ,Manila_ñ_Las_ñ,1,UNKNOWN,
Most affect,Most_affect,1,UNKNOWN,
earlier report number,earlier_report_number,1,UNKNOWN,
